City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,az zubayr,30.3945,47.7011,61.0,45,28,12.86,IQ,1701218148
331,moranbah,-22.0016,148.0466,93.22,34,0,12.44,AU,1701218150
332,gwanda,-20.9333,29.0,72.09,33,73,6.11,ZW,1701218151
333,nantucket,41.2835,-70.0995,35.74,46,20,17.27,US,1701218153
334,okhotsk,59.3833,143.3,11.8,92,100,7.18,RU,1701218155
335,darnah,32.767,22.6367,59.45,44,7,27.76,LY,1701218156
336,menongue,-14.6585,17.691,63.45,93,100,4.34,AO,1701218158
337,cheremukhovo,60.3484,59.9851,17.96,96,100,5.01,RU,1701218160
338,yinchuan,38.4681,106.2731,18.63,30,0,6.6,CN,1701218161
339,lampang,18.3333,99.5,64.31,94,43,1.14,TH,1701218163
340,port alfred,-33.5906,26.891,60.19,90,100,4.0,ZA,1701218165
341,araruama,-22.8728,-42.3431,75.25,96,100,13.38,BR,1701218167
342,al ghayzah,16.2079,52.176,75.42,71,100,4.76,YE,1701218168
343,haapsalu,58.9431,23.5414,22.91,89,55,7.54,EE,1701218170
344,flin flon,54.7682,-101.865,33.64,80,100,10.36,CA,1701218172
345,lagoa,39.05,-27.9833,64.2,88,100,5.64,PT,1701218174
346,hasaki,35.7333,140.8333,55.29,50,0,15.03,JP,1701218176
347,castanhal,-1.2939,-47.9264,75.49,84,0,4.07,BR,1701218177
348,okha,53.5739,142.9478,16.54,76,82,8.86,RU,1701218179
349,jaciara,-15.9653,-54.9683,77.76,63,9,4.16,BR,1701218181
350,pamandzi,-12.7967,45.2794,80.38,78,40,3.44,YT,1701218182
351,egersund,58.4513,5.9997,24.08,51,73,4.68,NO,1701218184
352,kalabo,-14.97,22.6814,68.76,79,61,5.3,ZM,1701218186
353,lyakhavichy,53.0388,26.2656,24.01,95,100,12.77,BY,1701218187
354,laguna,38.421,-121.4238,64.06,35,0,6.91,US,1701217905
355,meulaboh,4.1363,96.1285,77.56,88,99,3.09,ID,1701218191
356,broome,42.2506,-75.833,27.9,73,100,10.36,US,1701218192
357,yuzhno-kurilsk,44.0306,145.8556,38.37,74,100,30.71,RU,1701218194
358,saldanha,-33.0117,17.9442,55.45,80,0,14.45,ZA,1701218196
359,niigata,37.9022,139.0236,46.35,81,75,24.16,JP,1701218197
360,ash shihaniyah,25.3686,51.2264,74.82,62,1,11.72,QA,1701218199
361,san juan,-31.5375,-68.5364,76.24,57,1,15.88,AR,1701217935
